       0  6.49111e+16  2.61414e+16  1.71654e+16    -0.100464    -0.747860     0.656210    0.0829615    -0.663547    -0.743521     0.991476   -0.0202568     0.128706
       1  5.29835e+16  1.96474e+16  1.13917e+16     0.958308     0.255391     0.128143     0.205661    -0.927835     0.311168    -0.198365     0.271841     0.941676
       2  4.43953e+16  2.96849e+16  1.83534e+16    -0.417474    -0.893337     0.166326    -0.235521   -0.0704082    -0.969316     0.877636    -0.443837    -0.181006
       3  4.21429e+16  2.48328e+16  1.79737e+16    -0.453310     0.494038     0.741914     0.458401     0.843053    -0.281302     0.764447    -0.212577     0.608631
       4  3.53876e+16  2.11266e+16  1.57987e+16     0.718050     0.636274     0.282064    0.0507866     0.356288    -0.932995    -0.694137     0.684261     0.223518
       5  2.65532e+16  1.39459e+16  2.55823e+15     0.200265    -0.976147   -0.0838516     0.608410     0.190990    -0.770299    -0.767939    -0.103248    -0.632146
       6  2.14453e+16  1.09260e+16  6.77146e+15    -0.709730   -0.0315728     0.703766    -0.570575    -0.560175    -0.600540     0.413193    -0.827772     0.379558
       7  1.59081e+16  9.40733e+15  7.37040e+15    -0.496920    -0.793131     0.352157    -0.700037     0.606192     0.377466     0.512854    0.0589522     0.856449
       8  1.74358e+16  1.23116e+16  7.75820e+15    -0.402265     0.320079     0.857748    -0.752815    -0.648815    -0.110941    -0.521010     0.690353    -0.501957
       9  1.68955e+16  1.06793e+16  1.95825e+15     0.243554     0.914493    -0.323085     0.405527     0.206582     0.890433    -0.881039     0.347888     0.320538
      11  1.09539e+16  9.31132e+15  4.30398e+15    -0.845300    -0.333300    -0.417588    -0.509513     0.267594     0.817796     0.160827    -0.904049     0.396017
      12  9.13752e+15  8.37541e+15  5.43789e+15    0.0315736     0.960594    -0.276158     0.938496    0.0665572     0.338815    -0.343843     0.269870     0.899412
      13  1.17137e+16  8.03040e+15  5.14827e+15     0.245040     0.622530     0.743244     0.674554     0.441163    -0.591906    -0.696371     0.646398    -0.311828
      15  1.16563e+16  4.13689e+15  2.65536e+15    0.0973681    0.0979168     0.990420    -0.973457     0.216474    0.0742990     0.207125     0.971366    -0.116395
